step,customer,age,gender,zipcodeori,merchant,zipmerchant,category,amount,fraud,amount_zscore,high_spend_flag,daily_tx_count,unusual_velocity,category_concentration,fraud_risk_score
0,C923875417,5,F,28007,M348934600,28007,es_transportation,62.76,0,2.0426,1,1,0,0.8307,55.4
0,C1255236689,1,F,28007,M348934600,28007,es_transportation,68.17,0,2.3512,1,1,0,0.6946,58.5
0,C2039473569,2,M,28007,M348934600,28007,es_transportation,68.39,0,2.3638,1,1,0,0.8005,58.6
0,C2038427935,3,F,28007,M348934600,28007,es_transportation,64.69,0,2.1527,1,1,0,0.7573,56.5
0,C2029028090,4,M,28007,M348934600,28007,es_transportation,73.36,0,2.6473,1,1,0,0.8284,61.5
0,C1800696439,5,M,28007,M348934600,28007,es_transportation,66.57,0,2.2599,1,1,0,0.5252,57.6
0,C564451627,3,F,28007,M348934600,28007,es_transportation,67.88,0,2.3347,1,1,0,0.7065,58.3
0,C1807259356,3,F,28007,M348934600,28007,es_transportation,62.76,0,2.0426,1,1,0,0.7344,55.4
0,C495652708,2,M,28007,M1823072687,28007,es_transportation,71.65,0,2.5498,1,1,0,0.6993,60.5
0,C294914134,2,F,28007,M1823072687,28007,es_transportation,62.11,0,2.0055,1,1,0,0.7156,55.1
0,C105013970,3,M,28007,M348934600,28007,es_transportation,79.35,0,2.9891,1,1,0,0.6085,64.9
0,C1693925346,4,F,28007,M348934600,28007,es_transportation,88.54,0,3.5134,1,1,0,0.7707,70.1
0,C1214229415,4,F,28007,M348934600,28007,es_transportation,98.35,0,4.0732,1,1,0,0.7496,75.0
0,C364273844,3,F,28007,M348934600,28007,es_transportation,66.22,0,2.24,1,1,0,0.7492,57.4
0,C1450140987,4,F,28007,M1198415165,28007,es_wellnessandbeauty,220.11,1,2.3636,1,1,0,0.0697,58.6
0,C1238755034,4,M,28007,M348934600,28007,es_transportation,64.01,0,2.1139,1,1,0,0.3177,56.1
0,C1388933025,2,F,28007,M1823072687,28007,es_transportation,65.41,0,2.1937,1,1,0,0.6164,56.9
0,C1557448880,4,M,28007,M348934600,28007,es_transportation,69.95,0,2.4528,1,1,0,0.7112,59.5
0,C651594350,3,M,28007,M348934600,28007,es_transportation,64.03,0,2.115,1,1,0,0.6616,56.2
0,C746862122,3,M,28007,M348934600,28007,es_transportation,73.77,0,2.6707,1,1,0,0.6471,61.7
0,C11453786,3,M,28007,M348934600,28007,es_transportation,63.23,0,2.0694,1,1,0,0.6693,55.7
0,C1940951230,2,F,28007,M348934600,28007,es_transportation,73.59,0,2.6605,1,1,0,0.795,61.6
0,C461156176,5,F,28007,M348934600,28007,es_transportation,73.55,0,2.6582,1,1,0,0.7082,61.6
0,C12284077,3,F,28007,M1823072687,28007,es_transportation,69.89,0,2.4494,1,1,0,0.7023,59.5
0,C1646298550,2,F,28007,M348934600,28007,es_transportation,70.9,0,2.507,1,1,0,0.8485,60.1
0,C1433132752,3,M,28007,M348934600,28007,es_transportation,64.29,0,2.1298,1,1,0,0.8239,56.3
0,C1154612561,1,M,28007,M348934600,28007,es_transportation,64.29,0,2.1298,1,1,0,0.712,56.3
0,C1045652139,6,M,28007,M348934600,28007,es_transportation,71.06,0,2.5161,1,1,0,0.6558,60.2
0,C1987985724,2,M,28007,M348934600,28007,es_transportation,72.45,0,2.5954,1,1,0,0.7726,61.0
0,C719449879,6,F,28007,M1823072687,28007,es_transportation,63.95,0,2.1104,1,1,0,0.5652,56.1
0,C34111179,4,F,28007,M348934600,28007,es_transportation,71.53,0,2.5429,1,1,0,0.4889,60.4
0,C583110837,3,M,28007,M480139044,28007,es_health,667.09,1,3.47,1,3,0,0.0905,69.7
0,C1079254393,1,F,28007,M480139044,28007,es_health,520.5,1,2.5129,1,2,0,0.3164,60.1
0,C1341662543,3,F,28007,M348934600,28007,es_transportation,80.35,0,3.0462,1,1,0,0.8664,65.5
0,C480118707,2,M,28007,M348934600,28007,es_transportation,65.26,0,2.1852,1,1,0,0.7745,56.9
0,C1135867657,6,M,28007,M1823072687,28007,es_transportation,102.34,0,4.3008,1,1,0,0.6842,75.0
0,C1552608695,6,F,28007,M85975013,28007,es_food,87.08,0,2.0004,1,1,0,0.0763,55.0
0,C330615170,2,F,28007,M1535107174,28007,es_wellnessandbeauty,451.92,1,5.9076,1,2,0,0.2141,75.0
0,C1801713151,4,F,28007,M348934600,28007,es_transportation,75.11,0,2.7472,1,1,0,0.8212,62.5
0,C1685492470,2,F,28007,M980657600,28007,es_sportsandtoys,764.0,1,2.5422,1,4,0,0.1831,60.4
0,C35785606,2,F,28007,M348934600,28007,es_transportation,62.33,0,2.018,1,1,0,0.5724,55.2
0,C731767226,6,M,28007,M348934600,28007,es_transportation,65.3,0,2.1875,1,1,0,0.6579,56.9
0,C36546691,3,F,28007,M1823072687,28007,es_transportation,71.37,0,2.5338,1,1,0,0.6596,60.3
0,C1768385310,2,F,28007,M348934600,28007,es_transportation,77.41,0,2.8784,1,1,0,0.7825,63.8
0,C1764447156,3,F,28007,M2122776122,28007,es_home,707.22,1,2.8108,1,2,0,0.1076,63.1
0,C2078460335,6,F,28007,M348934600,28007,es_transportation,62.23,0,2.0123,1,1,0,0.7338,55.1
0,C1527362143,6,M,28007,M348934600,28007,es_transportation,66.85,0,2.2759,1,1,0,0.7757,57.8
0,C69477057,3,M,28007,M348934600,28007,es_transportation,68.05,0,2.3444,1,1,0,0.893,58.4
0,C555482626,3,F,28007,M209847108,28007,es_wellnessandbeauty,198.58,1,2.0344,1,2,0,0.032,55.3
0,C792341594,3,M,28007,M209847108,28007,es_wellnessandbeauty,304.21,1,3.6493,1,2,0,0.0794,71.5
0,C1600873622,4,F,28007,M348934600,28007,es_transportation,76.28,0,2.8139,1,1,0,0.7821,63.1
0,C332611573,2,F,28007,M348934600,28007,es_transportation,82.33,0,3.1591,1,1,0,0.7379,66.6
0,C375144053,6,F,28007,M980657600,28007,es_sportsandtoys,881.04,1,3.0849,1,4,0,0.1549,65.8
0,C181111540,2,F,28007,M348934600,28007,es_transportation,70.27,0,2.471,1,1,0,0.7586,59.7
0,C65683893,3,F,28007,M348934600,28007,es_transportation,63.15,0,2.0648,1,1,0,0.8776,55.6
0,C1343106500,4,F,28007,M1823072687,28007,es_transportation,64.62,0,2.1487,1,1,0,0.7856,56.5
0,C41461366,3,F,28007,M348934600,28007,es_transportation,62.99,0,2.0557,1,1,0,0.7006,55.6
0,C365152877,2,F,28007,M1823072687,28007,es_transportation,66.19,0,2.2383,1,1,0,0.8809,57.4
0,C1490048317,6,F,28007,M209847108,28007,es_wellnessandbeauty,432.27,1,5.6072,1,3,0,0.341,75.0
0,C1857140958,4,M,28007,M348934600,28007,es_transportation,73.38,0,2.6485,1,1,0,0.6965,61.5
0,C39112485,6,F,28007,M348934600,28007,es_transportation,67.59,0,2.3181,1,1,0,0.5785,58.2
0,C575345520,2,F,28007,M348934600,28007,es_transportation,76.67,0,2.8362,1,1,0,0.4284,63.4
0,C1439880421,4,F,28007,M1823072687,28007,es_transportation,62.93,0,2.0522,1,1,0,0.7292,55.5
0,C1275518867,5,F,28007,M480139044,28007,es_health,560.9,1,2.7767,1,3,0,0.1347,62.8
0,C1977646698,3,F,28007,M1198415165,28007,es_wellnessandbeauty,256.37,1,2.9179,1,2,0,0.1322,64.2
0,C1175684338,2,M,28007,M348934600,28007,es_transportation,92.38,0,3.7325,1,1,0,0.6813,72.3
0,C1777432937,3,F,28007,M348934600,28007,es_transportation,67.81,0,2.3307,1,1,0,0.7923,58.3
0,C793890087,2,F,28007,M348934600,28007,es_transportation,66.87,0,2.277,1,1,0,0.8266,57.8
0,C1881708420,3,F,28007,M1823072687,28007,es_transportation,69.86,0,2.4476,1,1,0,0.76,59.5
0,C1465725042,6,F,28007,M151143676,28007,es_barsandrestaurants,145.25,0,2.6505,1,1,0,0.0601,61.5
0,C1700159150,4,F,28007,M348934600,28007,es_transportation,78.14,0,2.9201,1,1,0,0.5588,64.2
0,C639558755,3,M,28007,M348934600,28007,es_transportation,65.95,0,2.2246,1,1,0,0.8098,57.2
0,C20274793,3,F,28007,M1823072687,28007,es_transportation,63.82,0,2.103,1,1,0,0.8381,56.0
0,C287533643,3,M,28007,M1823072687,28007,es_transportation,63.35,0,2.0762,1,1,0,0.6738,55.8
0,C1645579872,5,F,28007,M348934600,28007,es_transportation,69.78,0,2.4431,1,1,0,0.8007,59.4
0,C1178005728,3,F,28007,M1823072687,28007,es_transportation,91.18,0,3.6641,1,1,0,0.7721,71.6
0,C1018783569,2,M,28007,M348934600,28007,es_transportation,72.2,0,2.5812,1,1,0,0.6321,60.8
0,C1431362064,1,F,28007,M85975013,28007,es_food,101.79,0,2.5889,1,1,0,0.02,60.9
0,C1476138873,5,F,28007,M348934600,28007,es_transportation,68.39,0,2.3638,1,1,0,0.8516,58.6
0,C1952969809,4,F,28007,M348934600,28007,es_transportation,68.51,0,2.3706,1,1,0,0.8322,58.7
0,C1791793827,4,M,28007,M348934600,28007,es_transportation,74.22,0,2.6964,1,1,0,0.6333,62.0
0,C1783127345,4,M,28007,M348934600,28007,es_transportation,66.92,0,2.2799,1,1,0,0.807,57.8
0,C179390259,4,F,28007,M547558035,28007,es_fashion,506.77,1,7.9495,1,2,0,0.0568,75.0
0,C2104923127,2,F,28007,M348934600,28007,es_transportation,68.16,0,2.3507,1,1,0,0.796,58.5
0,C1902837467,4,M,28007,M1823072687,28007,es_transportation,63.28,0,2.0722,1,1,0,0.6141,55.7
0,C2076439645,2,F,28007,M348934600,28007,es_transportation,77.8,0,2.9007,1,1,0,0.3831,64.0
0,C1780824451,5,M,28007,M348934600,28007,es_transportation,68.68,0,2.3803,1,1,0,0.5496,58.8
0,C399777042,2,M,28007,M348934600,28007,es_transportation,71.49,0,2.5406,1,1,0,0.8083,60.4
0,C906611945,2,M,28007,M348934600,28007,es_transportation,69.87,0,2.4482,1,1,0,0.5374,59.5
0,C416655198,2,F,28007,M348934600,28007,es_transportation,70.2,0,2.467,1,1,0,0.77,59.7
0,C116386695,2,M,28007,M348934600,28007,es_transportation,68.21,0,2.3535,1,1,0,0.8158,58.5
0,C1559339990,4,M,28007,M348934600,28007,es_transportation,79.72,0,3.0102,1,1,0,0.8082,65.1
0,C16891369,3,M,28007,M348934600,28007,es_transportation,65.2,0,2.1818,1,1,0,0.8515,56.8
0,C1079254393,1,F,28007,M480139044,28007,es_health,908.5,1,5.0462,1,2,0,0.3164,75.0
0,C896894357,3,M,28007,M85975013,28007,es_food,102.96,0,2.6357,1,1,0,0.0648,61.4
