ticker,company,fiscal_year,fiscal_period,period_end,form_type,filed_date,cash,financing_cash_flow,interest_expense,investing_cash_flow,long_term_debt,net_income,operating_cash_flow,operating_expenses,revenue,stockholders_equity,tax_expense,total_assets,total_liabilities,days_to_file,late_filing,revenue_yoy_pct,net_income_yoy_pct,operating_expenses_yoy_pct,total_assets_yoy_pct,profit_margin,debt_to_equity,cash_ratio,expense_ratio,expense_ratio_zscore,materiality_score,profit_margin_vs_peers
AXP,AMERICAN EXPRESS CO,2009.0,FY,2006-12-31,10-K,2010-02-26,8246000000.0,,,,,,,,,10511000000.0,,,,1153,1,,,,,,,,,,20,
AXP,AMERICAN EXPRESS CO,2009.0,FY,2007-12-31,10-K,2010-02-26,15268000000.0,15466000000.0,3981000000.0,-16621000000.0,,4012000000.0,,,,,1568000000.0,,,788,1,,,,,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,FY,2007-12-31,10-K,2011-02-28,,,,,,,,,,11029000000.0,,,,1155,1,,,,,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,Q2,2007-12-31,10-Q,2010-08-05,,,,,,,8500000000.0,,,,,,,948,1,,,,,,,,,,20,
AXP,AMERICAN EXPRESS CO,2009.0,Q3,2008-09-30,10-Q,2009-10-30,15898000000.0,,884000000.0,,,815000000.0,,,,,217000000.0,,,395,1,,,,,,,,,,20,
AXP,AMERICAN EXPRESS CO,2009.0,FY,2008-12-31,10-K,2010-02-26,,,,,60041000000.0,,,,,,,126074000000.0,114233000000.0,422,1,,-79.69000000000001,,,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,FY,2008-12-31,10-K,2011-02-28,,-10440000000.0,3555000000.0,7561000000.0,,2699000000.0,7773000000.0,,28365000000.0,,710000000.0,,,789,1,,-32.73,,,0.0952,,,,,20,0.012
AXP,AMERICAN EXPRESS CO,2010.0,Q2,2008-12-31,10-Q,2010-08-05,21654000000.0,,,,,,,,,,,,,582,1,,-32.73,,,,,,,,20,
AXP,AMERICAN EXPRESS CO,2011.0,FY,2008-12-31,10-K,2012-02-24,,,,,,,,,,11841000000.0,,,,1150,1,,231.17000000000002,,,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,FY,2009-03-31,10-K,2011-02-28,,,,,,437000000.0,,,,,,,,699,1,,-46.379999999999995,,0.0,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,Q1,2009-03-31,10-Q,2010-05-05,20810000000.0,-2505000000.0,555000000.0,1798000000.0,,,,,,,101000000.0,,,400,1,0.0,-83.81,,0.0,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,Q2,2009-03-31,10-Q,2010-08-05,,,,,,,600000000.0,,,,,,,492,1,0.0,-83.81,,0.0,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,FY,2009-06-30,10-K,2011-02-28,,,,,,337000000.0,,,,,,,,608,1,0.0,-87.51,,0.0,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,Q2,2009-06-30,10-Q,2010-08-05,16448000000.0,,547000000.0,,,,,,,,76000000.0,,,401,1,0.0,-22.88,,0.0,,,,,,20,
AXP,AMERICAN EXPRESS CO,2009.0,Q3,2009-09-30,10-Q,2009-10-30,18648000000.0,,,,52850000000.0,,,,,13943000000.0,,120445000000.0,106502000000.0,30,0,0.0,-22.88,,-4.46,,3.7904,0.1751,,,0,
AXP,AMERICAN EXPRESS CO,2010.0,FY,2009-09-30,10-K,2011-02-28,,,,,,640000000.0,,,,,,,,516,1,0.0,46.45,,-4.46,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,Q3,2009-09-30,10-Q,2010-11-03,,,543000000.0,,,,,,,,276000000.0,,,399,1,0.0,89.91,,-4.46,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,FY,2009-12-31,10-K,2011-02-28,4064000000.0,,,,77300000000.0,716000000.0,,,24523000000.0,,,125145000000.0,110739000000.0,424,1,-13.54,112.46000000000001,,-0.74,0.0292,,0.0367,,,20,-0.054
AXP,AMERICAN EXPRESS CO,2011.0,FY,2009-12-31,10-K,2012-02-24,,-4647000000.0,2207000000.0,-6752000000.0,,2130000000.0,6337000000.0,,,,704000000.0,,,785,1,-13.54,532.05,,3.9,,,,,,20,
AXP,AMERICAN EXPRESS CO,2012.0,FY,2009-12-31,10-K,2013-02-22,,,,,,,,,,12637000000.0,,,,1149,1,-13.54,232.81,,3.9,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,Q1,2010-03-31,10-Q,2010-05-05,21098000000.0,,,,72293000000.0,,,,,13425000000.0,,143314000000.0,129889000000.0,35,0,-13.54,232.81,,18.990000000000002,,5.385,0.1624,,,0,
AXP,AMERICAN EXPRESS CO,2011.0,FY,2010-03-31,10-K,2012-02-24,,,,,,885000000.0,,,,,,,,695,1,0.0,23.599999999999998,,14.52,,,,,,20,
AXP,AMERICAN EXPRESS CO,2011.0,Q1,2010-03-31,10-Q,2011-05-04,,-3661000000.0,598000000.0,7680000000.0,,,2262000000.0,,,,367000000.0,,,399,1,0.0,-58.45,,14.52,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,Q2,2010-06-30,10-Q,2010-08-05,20687000000.0,,,,69345000000.0,,,,,14513000000.0,,143763000000.0,129250000000.0,36,0,0.0,-58.45,,14.879999999999999,,4.7781,0.1601,,,0,
AXP,AMERICAN EXPRESS CO,2011.0,FY,2010-06-30,10-K,2012-02-24,,,,,,1017000000.0,,,,,,,,604,1,0.0,-52.25,,0.31,,,,,,20,
AXP,AMERICAN EXPRESS CO,2011.0,Q2,2010-06-30,10-Q,2011-08-03,,,610000000.0,,,,,,,,578000000.0,,,399,1,0.0,14.92,,0.31,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,Q3,2010-09-30,10-Q,2010-11-03,,,,,68828000000.0,,,,,15920000000.0,,146056000000.0,130136000000.0,34,0,0.0,14.92,,1.91,,4.3234,,,,0,
AXP,AMERICAN EXPRESS CO,2011.0,FY,2010-09-30,10-K,2012-02-24,,,,,,1093000000.0,,,,,,,,512,1,0.0,23.5,,1.59,,,,,,20,
AXP,AMERICAN EXPRESS CO,2011.0,Q3,2010-09-30,10-Q,2011-11-02,,,610000000.0,,,,,,,,547000000.0,,,398,1,0.0,7.470000000000001,,1.59,,,,,,20,
AXP,AMERICAN EXPRESS CO,2010.0,FY,2010-12-31,10-K,2011-02-28,,,,,,,,,27819000000.0,,,,,59,0,13.44,7.470000000000001,,1.59,,,,,,0,
AXP,AMERICAN EXPRESS CO,2011.0,FY,2010-12-31,10-K,2012-02-24,,-8084000000.0,,-1229000000.0,66416000000.0,1062000000.0,8935000000.0,,,,,146689000000.0,130459000000.0,420,1,13.44,4.42,,0.43,,,,,,20,
AXP,AMERICAN EXPRESS CO,2011.0,Q2,2010-12-31,10-Q,2011-08-03,654000000.0,,,,,,,,,,,,,215,1,13.44,-2.8400000000000003,,0.43,,,,,,20,
AXP,AMERICAN EXPRESS CO,2012.0,FY,2010-12-31,10-K,2013-02-22,,,2423000000.0,,,4057000000.0,,,,,1907000000.0,,,784,1,13.44,271.18,,0.43,,,,,,20,
AXP,AMERICAN EXPRESS CO,2014.0,FY,2010-12-31,10-K,2015-02-24,,,,,,,,,,18794000000.0,,,,1516,1,0.0,271.18,,0.43,,,,,,20,
AXP,AMERICAN EXPRESS CO,2011.0,Q1,2011-03-31,10-Q,2011-05-04,551000000.0,,,,60730000000.0,,,,,17482000000.0,,143979000000.0,126497000000.0,34,0,0.0,282.02,,-1.8499999999999999,,3.4739,0.0044,,,0,
AXP,AMERICAN EXPRESS CO,2012.0,FY,2011-03-31,10-K,2013-02-22,,,,,,1177000000.0,,,,,,,,694,1,0.0,10.83,,-1.8499999999999999,,,,,,20,
AXP,AMERICAN EXPRESS CO,2012.0,Q1,2011-03-31,10-Q,2012-05-01,,-3616000000.0,593000000.0,8663000000.0,,,537000000.0,,,,555000000.0,,,397,1,0.0,-70.99,,-1.8499999999999999,,,,,,20,
AXP,AMERICAN EXPRESS CO,2011.0,Q2,2011-06-30,10-Q,2011-08-03,468000000.0,,,,61395000000.0,,,,,18205000000.0,,147796000000.0,129591000000.0,34,0,0.0,-70.99,,0.75,,3.3724,0.0036,,,0,
AXP,AMERICAN EXPRESS CO,2012.0,FY,2011-06-30,10-K,2013-02-22,,,,,,1331000000.0,,,,,,,,603,1,0.0,-67.19000000000001,,2.65,,,,,,20,
AXP,AMERICAN EXPRESS CO,2012.0,Q2,2011-06-30,10-Q,2012-08-02,,,577000000.0,,,,,,,,470000000.0,,,399,1,0.0,13.08,,2.65,,,,,,20,
